"자치구","안심 주소","CCTV 용도","위도","경도","CCTV 수량","수정 일시"
"용산구","064.자치07-52(00) (효창동 3-263 용산장애인복지관 옆)","064.자치07-52(00) (효창동 3-263 용산장애인복지관 옆)","37.5475","126.9618","1","2022-12-01"
"용산구","065.교지07-53(00) (효창동 3-349 청파초 정문 맞은편)","065.교지07-53(00) (효창동 3-349 청파초 정문 맞은편)","37.5478","126.9633","1","2022-12-01"
"용산구","공원01-13(00) (후암로13가길 25 새나라공원)","공원01-13(00) (후암로13가길 25 새나라공원)","37.5482","126.9763","1","2022-12-01"
"용산구","공원01-14(00) (후암로13가길 25 새나라공원)","공원01-14(00) (후암로13가길 25 새나라공원)","37.5481","126.9765","1","2022-12-01"
"용산구","공원02-17(00) 19-1차(용산동2가 1-1923 후암동 외국인학교 옆 공원)","공원02-17(00) 19-1차(용산동2가 1-1923 후암동 외국인학교 옆 공원)","37.5450","126.9844","1","2022-12-01"
"용산구","공원02-17(A1) (신흥로 100-5 옆)","공원02-17(A1) (신흥로 100-5 옆)","37.5453","126.9844","1","2022-12-01"
"용산구","공원02-18(00) (용산동2가 5-1717 소월길 주민쉼터)","공원02-18(00) (용산동2가 5-1717 소월길 주민쉼터)","37.5457","126.9879","1","2022-12-01"
"용산구","공원03-13(00) 19-1차(동자동 8-3 새꿈어린이공원 하단부)","공원03-13(00) 19-1차(동자동 8-3 새꿈어린이공원 하단부)","37.5524","126.9742","1","2022-12-01"
"용산구","공원03-14(00) 19-1차(동자동 19-14 새꿈어린이공원 상단부)","공원03-14(00) 19-1차(동자동 19-14 새꿈어린이공원 상단부)","37.5523","126.9744","1","2022-12-01"
"용산구","공원03-15(00) 20-2차(동자동 18-21 센트리빌아파트 공원내(두텁바위어린이공원))","공원03-15(00) 20-2차(동자동 18-21 센트리빌아파트 공원내(두텁바위어린이공원))","37.5519","126.9736","1","2022-12-01"
"용산구","공원03-16(00) 20-2차(동자동 18-58 센트리빌아파트 공원내(두텁바위어린이공원))","공원03-16(00) 20-2차(동자동 18-58 센트리빌아파트 공원내(두텁바위어린이공원))","37.5520","126.9732","1","2022-12-01"
