서울시 기준일,서울시 확진자,서울시 추가 확진,서울시 치료중,서울시 퇴원,서울시 추가 퇴원,서울시 사망,서울시 의심환자 전체,서울시 의심환자 검사중,서울시 의심환자 검사결과(음성),전국 기준일,전국 확진,전국 추가 확진,전국 치료중,전국 퇴원,전국 사망,전국 의심환자 전체,전국 의심환자 검사중,전국 의심환자 검사결과(음성),자가격리자 해외입국자 감시중,자가격리자 해외입국자 감시해제,자가격리자 접촉자 감시중,자가격리자 접촉자 감시해제,확인중 확진자,서울시 당일사망자,전국 당일 사망자
2023.02.03.00,5873340,2551,0,,,6271,,,,2023.02.03.00,30228889,14961,0,,33552,,,,,,,,0,4,30
2023.02.02.00,5870789,2884,0,,,6267,,,,2023.02.02.00,30213928,16862,0,,33522,,,,,,,,0,4,36
2023.02.01.00,5867905,3276,0,,,6263,,,,2023.02.01.00,30197066,20420,0,,33486,,,,,,,,0,4,42
2023.01.31.00,5864629,3696,0,,,6259,,,,2023.01.31.00,30176646,19629,0,,33444,,,,,,,,0,3,24
2023.01.30.00,5860933,922,0,,,6256,,,,2023.01.30.00,30157017,7416,0,,33420,,,,,,,,0,4,30
2023.01.29.00,5860011,2924,0,,,6252,,,,2023.01.29.00,30149601,18871,0,,33390,,,,,,,,0,6,29
2023.01.28.00,5857087,4065,0,,,6246,,,,2023.01.28.00,30130730,23612,0,,33361,,,,,,,,0,6,29
2023.01.27.00,5853045,5081,0,,,6240,,,,2023.01.27.00,30107363,31711,0,,33332,,,,,,,,0,5,36
2023.01.26.00,5847964,6815,0,,,6235,,,,2023.01.26.00,30075652,35096,0,,33296,,,,,,,,0,3,26
2023.01.25.00,5841149,3187,0,,,6232,,,,2023.01.25.00,30040556,19538,0,,33270,,,,,,,,0,1,25
2023.01.24.00,5837962,2127,0,,,6231,,,,2023.01.24.00,30021018,12262,0,,33245,,,,,,,,0,1,10
2023.01.23.00,5835835,1439,0,,,6230,,,,2023.01.23.00,30008756,9227,0,,33235,,,,,,,,0,5,26
2023.01.22.00,5834396,2315,0,,,6225,,,,2023.01.22.00,29999529,16624,0,,33209,,,,,,,,0,2,24
