"주택유형별(1)","지역별(1)",지역별(2),지역별(3),지역별(4),2022.07,2022.08,2022.09,2022.10,2022.11,2022.12
"종합","전국",소계,소계,소계,104.8,104.5,103.9,103.1,101.7,99.7
"종합","수도권",소계,소계,소계,105.8,105.4,104.7,103.7,101.8,99.2
"종합","지방",소계,소계,소계,103.8,103.6,103.2,102.7,101.6,100.2
"종합","6대광역시",소계,소계,소계,104.0,103.5,102.8,101.8,100.0,97.7
"종합","5대광역시",소계,소계,소계,103.1,102.7,102.1,101.2,99.6,97.6
"종합","9개도",소계,소계,소계,105.6,105.4,105.0,104.3,103.0,101.2
"종합","8개도",소계,소계,소계,104.4,104.4,104.3,103.9,103.2,102.2
"종합","서울",소계,소계,소계,103.6,103.3,102.8,102.0,100.6,98.7
"종합","서울",강북권역,소계,소계,103.1,102.8,102.3,101.5,100.0,97.7
"종합","서울",강북권역,도심권,소계,103.5,103.4,103.0,102.3,101.4,100.0
"종합","서울",강북권역,도심권,종로,102.9,102.7,102.3,101.9,101.2,100.2
"종합","서울",강북권역,도심권,중,102.5,102.1,101.4,100.6,99.3,96.9
"종합","서울",강북권역,도심권,용산,104.5,104.5,104.2,103.5,102.7,101.4
"종합","서울",강북권역,동북권,소계,103.1,102.8,102.2,101.3,99.7,97.2
"종합","서울",강북권역,동북권,성동,102.2,102.1,102.0,101.5,100.4,99.0
"종합","서울",강북권역,동북권,광진,102.1,102.1,102.0,101.6,101.0,100.0
"종합","서울",강북권역,동북권,동대문,102.8,102.6,102.2,101.5,100.0,97.7
"종합","서울",강북권역,동북권,중랑,103.2,103.0,102.6,102.0,100.8,98.8
"종합","서울",강북권역,동북권,성북,102.9,102.5,101.9,100.9,99.3,96.5
"종합","서울",강북권역,동북권,강북,102.4,102.2,102.0,101.5,100.4,98.8
"종합","서울",강북권역,동북권,도봉,103.8,103.2,102.3,101.2,99.0,96.0
"종합","서울",강북권역,동북권,노원,104.5,103.7,102.4,100.8,98.0,93.8
"종합","서울",강북권역,서북권,소계,103.0,102.6,102.1,101.4,100.4,98.2
"종합","서울",강북권역,서북권,은평,103.2,102.9,102.4,101.6,100.5,98.3
"종합","서울",강북권역,서북권,서대문,102.3,101.9,101.4,100.7,99.6,97.4
"종합","서울",강북권역,서북권,마포,103.2,102.9,102.4,101.8,100.9,98.8
"종합","서울",강남권역,소계,소계,104.0,103.8,103.4,102.5,101.2,99.6
"종합","서울",강남권역,서남권,소계,103.1,102.9,102.5,101.8,100.5,98.9
"종합","서울",강남권역,서남권,양천,102.9,102.8,102.5,101.7,100.5,99.1
"종합","서울",강남권역,서남권,강서,103.0,102.8,102.3,101.5,100.2,98.6
"종합","서울",강남권역,서남권,구로,103.1,102.9,102.4,101.6,100.4,99.0
"종합","서울",강남권역,서남권,금천,102.5,102.3,101.9,101.2,100.0,98.5
"종합","서울",강남권역,서남권,영등포,103.1,102.9,102.5,101.7,100.2,98.1
"종합","서울",강남권역,서남권,동작,104.2,104.1,103.8,103.2,102.0,100.2
"종합","서울",강남권역,서남권,관악,102.7,102.6,102.2,101.4,100.3,98.7
"종합","서울",강남권역,동남권,소계,105.2,105.0,104.5,103.5,102.1,100.4
"종합","서울",강남권역,동남권,서초,105.9,105.9,105.7,105.1,104.2,103.1
"종합","서울",강남권역,동남권,강남,105.4,105.3,104.9,104.1,102.8,101.2
"종합","서울",강남권역,동남권,송파,105.3,104.9,104.1,102.8,101.0,98.8
"종합","서울",강남권역,동남권,강동,103.8,103.7,103.3,102.4,100.8,99.0
"종합","경기",소계,소계,소계,107.2,106.7,105.9,104.8,102.8,99.8
"종합","경기",경부1권,소계,소계,107.9,107.4,106.7,105.5,103.0,99.5
"종합","경기",경부1권,과천,소계,102.5,102.2,101.8,100.9,98.4,94.5
"종합","경기",경부1권,안양,소계,108.9,108.4,107.4,106.1,103.1,99.3
"종합","경기",경부1권,안양,만안,106.0,105.7,105.3,104.6,102.6,99.6
"종합","경기",경부1권,안양,동안,111.1,110.3,109.0,107.2,103.5,99.1
"종합","경기",경부1권,성남,소계,105.4,105.1,104.6,103.6,101.8,99.2
"종합","경기",경부1권,성남,수정,105.9,105.7,105.0,103.6,101.8,98.4
"종합","경기",경부1권,성남,중원,105.9,105.8,105.3,104.2,102.5,100.1
"종합","경기",경부1권,성남,분당,105.0,104.6,104.1,103.4,101.5,99.1
"종합","경기",경부1권,군포,소계,112.5,112.1,111.4,110.4,107.7,103.1
"종합","경기",경부1권,의왕,소계,109.5,108.4,107.0,105.2,102.0,97.2
"종합","경기",경부2권,소계,소계,106.4,105.8,105.1,104.0,102.4,100.2
"종합","경기",경부2권,안성,소계,111.3,111.3,111.1,111.0,109.9,108.4
"종합","경기",경부2권,용인,소계,105.4,104.9,104.2,103.1,101.9,99.9
"종합","경기",경부2권,용인,처인,105.2,105.0,105.0,104.8,104.3,103.2
"종합","경기",경부2권,용인,기흥,106.4,105.7,104.7,103.7,102.5,100.2
"종합","경기",경부2권,용인,수지,104.6,103.9,102.9,101.3,99.5,97.1
"종합","경기",경부2권,수원,소계,106.4,105.7,104.8,103.6,101.6,99.1
"종합","경기",경부2권,수원,장안,106.1,105.6,105.2,104.6,103.7,101.7
"종합","경기",경부2권,수원,권선,107.1,106.6,106.2,105.6,103.4,101.0
"종합","경기",경부2권,수원,팔달,105.1,104.9,104.5,103.9,102.8,101.3
"종합","경기",경부2권,수원,영통,106.6,105.4,103.4,100.5,97.5,93.9
"종합","경기",서해안권,소계,소계,108.7,108.1,107.3,106.0,103.7,100.7
"종합","경기",서해안권,부천,소계,109.4,109.2,108.9,108.2,105.4,102.2
"종합","경기",서해안권,안산,소계,108.2,107.9,107.3,106.4,104.5,101.6
"종합","경기",서해안권,안산,상록,108.4,108.2,107.8,107.4,105.7,103.3
"종합","경기",서해안권,안산,단원,108.0,107.5,106.6,105.4,103.1,99.8
"종합","경기",서해안권,시흥,소계,109.4,108.6,107.5,105.8,103.0,99.7
"종합","경기",서해안권,광명,소계,105.0,104.2,102.8,101.0,97.0,91.8
"종합","경기",서해안권,화성,소계,107.1,106.2,104.9,102.9,100.8,97.7
"종합","경기",서해안권,오산,소계,111.5,110.5,109.2,107.3,105.3,102.1
"종합","경기",서해안권,평택,소계,110.8,110.4,109.9,109.1,108.0,106.5
"종합","경기",동부1권,소계,소계,105.7,105.1,104.2,103.0,101.2,97.9
"종합","경기",동부1권,남양주,소계,107.3,106.7,105.7,104.2,101.8,97.6
"종합","경기",동부1권,구리,소계,105.2,104.9,104.2,103.4,102.3,99.2
"종합","경기",동부1권,하남,소계,102.1,101.3,100.3,98.9,96.9,93.3
"종합","경기",동부1권,광주,소계,105.0,104.3,103.7,102.9,102.1,100.4
"종합","경기",동부2권,소계,소계,107.3,107.5,107.7,107.7,107.1,105.6
"종합","경기",동부2권,이천,소계,112.6,112.9,113.2,113.1,112.1,109.5
"종합","경기",동부2권,여주,소계,105.2,105.4,105.6,105.6,105.0,103.8
"종합","경기",경의권,소계,소계,106.5,106.2,105.5,104.2,101.9,99.1
"종합","경기",경의권,김포,소계,104.9,104.4,103.5,102.1,99.6,95.6
"종합","경기",경의권,고양,소계,107.1,106.9,106.3,105.3,103.0,100.2
"종합","경기",경의권,고양,덕양,106.8,106.4,105.6,104.4,101.1,97.6
"종합","경기",경의권,고양,일산동,106.5,106.4,106.0,105.5,104.4,102.7
"종합","경기",경의권,고양,일산서,108.1,107.8,107.3,106.3,104.7,102.0
"종합","경기",경의권,파주,소계,106.9,106.5,105.8,103.8,101.8,100.0
"종합","경기",경원권,소계,소계,105.3,104.8,103.8,102.7,101.1,97.4
"종합","경기",경원권,포천,소계,103.9,103.8,103.7,103.3,102.5,101.1
"종합","경기",경원권,동두천,소계,104.4,104.1,103.6,102.4,100.5,98.1
"종합","경기",경원권,양주,소계,107.0,106.1,104.7,103.0,100.2,95.3
"종합","경기",경원권,의정부,소계,105.4,105.0,103.7,102.5,101.2,96.9
"종합","인천",소계,소계,소계,106.9,106.2,105.3,103.9,101.4,98.2
"종합","인천",중,소계,소계,104.9,104.4,103.5,102.3,99.9,97.1
"종합","인천",동,소계,소계,104.3,104.0,103.5,102.9,101.0,99.4
"종합","인천",미추홀,소계,소계,107.0,106.5,105.8,104.9,103.5,102.0
"종합","인천",연수,소계,소계,109.5,108.3,106.8,104.4,100.6,95.3
"종합","인천",남동,소계,소계,105.2,104.6,103.8,102.4,99.6,95.7
"종합","인천",부평,소계,소계,107.5,106.9,106.1,105.1,102.9,99.8
"종합","인천",계양,소계,소계,109.3,108.4,107.4,106.0,103.3,100.2
"종합","인천",서,소계,소계,106.2,105.5,104.5,102.7,99.8,96.2
"종합","부산",소계,소계,소계,104.9,104.6,104.0,103.1,101.7,99.8
"종합","부산",중부산권,소계,소계,103.8,103.5,103.0,102.1,100.8,99.2
"종합","부산",중부산권,중,소계,102.4,102.5,102.3,102.1,101.7,101.2
"종합","부산",중부산권,서,소계,102.1,102.0,101.7,101.4,100.8,100.0
"종합","부산",중부산권,동,소계,102.3,102.0,101.4,100.9,100.0,98.8
"종합","부산",중부산권,영도,소계,103.4,103.3,103.1,102.7,102.0,101.2
"종합","부산",중부산권,부산진,소계,103.5,103.2,102.7,101.8,100.0,98.1
"종합","부산",중부산권,남,소계,102.1,101.9,101.1,100.0,98.9,97.2
"종합","부산",중부산권,연제,소계,105.7,105.2,104.5,103.5,102.2,100.4
"종합","부산",중부산권,수영,소계,107.3,106.7,105.9,104.9,103.3,101.3
"종합","부산",동부산권,소계,소계,106.4,106.0,105.2,103.9,102.1,99.6
"종합","부산",동부산권,해운대,소계,108.8,108.1,107.1,105.4,103.2,100.2
"종합","부산",동부산권,금정,소계,103.6,103.3,102.9,102.2,100.9,99.2
"종합","부산",동부산권,동래,소계,105.3,104.8,104.0,102.6,100.5,98.0
"종합","부산",동부산권,기장,소계,106.7,106.6,106.1,105.4,104.0,101.9
"종합","부산",서부산권,소계,소계,104.8,104.6,104.3,103.8,102.6,100.9
"종합","부산",서부산권,북,소계,105.3,105.0,104.5,104.0,102.3,100.1
"종합","부산",서부산권,강서,소계,102.5,102.2,101.9,101.3,100.0,98.0
"종합","부산",서부산권,사상,소계,105.4,105.4,105.2,104.6,103.2,101.2
"종합","부산",서부산권,사하,소계,104.7,104.7,104.5,104.1,103.3,102.6
"종합","대구",소계,소계,소계,98.1,97.4,96.7,95.7,94.2,91.8
"종합","대구",중,소계,소계,97.9,97.6,97.0,96.4,95.7,95.0
"종합","대구",동,소계,소계,97.8,97.5,97.1,96.4,95.3,93.7
"종합","대구",서,소계,소계,99.5,99.4,99.0,98.7,98.0,96.8
"종합","대구",남,소계,소계,100.3,100.0,99.8,99.6,99.0,98.2
"종합","대구",북,소계,소계,99.0,98.6,98.2,97.6,96.3,94.5
"종합","대구",수성,소계,소계,99.3,98.6,97.5,96.1,94.1,89.9
"종합","대구",달서,소계,소계,95.6,94.6,93.7,92.5,90.7,88.3
"종합","대구",달성,소계,소계,98.0,97.0,96.0,94.2,92.2,88.8
"종합","광주",소계,소계,소계,106.1,106.0,105.5,104.9,103.4,101.7
"종합","광주",동,소계,소계,102.9,102.9,102.5,102.1,101.0,99.8
"종합","광주",서,소계,소계,105.3,105.3,104.9,104.4,103.3,101.9
"종합","광주",남,소계,소계,104.5,104.4,103.9,103.5,102.2,101.0
"종합","광주",북,소계,소계,107.4,107.4,106.9,106.4,104.7,102.7
"종합","광주",광산,소계,소계,107.2,107.0,106.3,105.3,103.5,101.4
"종합","대전",소계,소계,소계,103.5,103.0,102.1,101.0,99.4,97.1
