,연간 자동차 판매량,총 인구(명),1인당 국민 총소득($)
대한민국,1905972,21836239,32930
중국,25311068,1411100000,10530
인도,2938653,1380004385,1910
인도네시아,532077,273523621,3870
이스라엘,268220,9291000,42610
일본,4598611,126261000,40810
필리핀,244178,109581085,3430
칠레,258835,19116209,13120
브라질,2058437,212559409,7800
아르헨티나,333845,45376763,9080
독일,3268222,83160871,47520
프랑스,2100058,67379908,39500
스페인,1030470,47363419,54290
이탈리아,1564670,59449527,32380
영국,1964772,67081000,39970
스위스,278366,8636561,82620
스웨덴,330215,10353442,54290
뉴질랜드,115435,5090200,41480
이집트,219732,102334403,3000
모로코,133308,36910558,3020
