speed,hour,isWeekday
31.14927647,6,1
28.8746269,7,1
26.362655,8,1
23.93902092,9,1
23.9702431,10,1
24.14475538,11,1
24.49718936,12,1
25.05653771,13,1
24.88117943,14,1
24.22881504,15,1
23.63142655,16,1
22.81090485,17,1
21.82844178,18,1
21.21059371,19,1
31.99860029,6,0
30.85956875,7,0
30.39079129,8,0
29.27124449,9,0
27.5549503,10,0
25.87716787,11,0
25.09194871,12,0
24.74661846,13,0
24.23326065,14,0
24.12959073,15,0
24.09152176,16,0
24.04971849,17,0
23.60077957,18,0
23.69761157,19,0
