"항목","시점",전국
"지수 (2017.11 = 100.0)","2006.01",60.0
"지수 (2017.11 = 100.0)","2006.02",60.5
"지수 (2017.11 = 100.0)","2006.03",61.2
"지수 (2017.11 = 100.0)","2006.04",61.6
"지수 (2017.11 = 100.0)","2006.05",62.0
"지수 (2017.11 = 100.0)","2006.06",62.5
"지수 (2017.11 = 100.0)","2006.07",62.6
"지수 (2017.11 = 100.0)","2006.08",63.4
"지수 (2017.11 = 100.0)","2006.09",64.6
"지수 (2017.11 = 100.0)","2006.10",67.2
"지수 (2017.11 = 100.0)","2006.11",69.8
"지수 (2017.11 = 100.0)","2006.12",70.9
"지수 (2017.11 = 100.0)","2007.01",72.0
"지수 (2017.11 = 100.0)","2007.02",71.9
"지수 (2017.11 = 100.0)","2007.03",72.2
"지수 (2017.11 = 100.0)","2007.04",72.1
"지수 (2017.11 = 100.0)","2007.05",71.5
"지수 (2017.11 = 100.0)","2007.06",72.0
"지수 (2017.11 = 100.0)","2007.07",72.6
"지수 (2017.11 = 100.0)","2007.08",73.2
"지수 (2017.11 = 100.0)","2007.09",73.7
"지수 (2017.11 = 100.0)","2007.10",74.0
"지수 (2017.11 = 100.0)","2007.11",74.0
"지수 (2017.11 = 100.0)","2007.12",74.1
"지수 (2017.11 = 100.0)","2008.01",74.9
"지수 (2017.11 = 100.0)","2008.02",75.4
"지수 (2017.11 = 100.0)","2008.03",76.7
"지수 (2017.11 = 100.0)","2008.04",77.8
"지수 (2017.11 = 100.0)","2008.05",78.7
"지수 (2017.11 = 100.0)","2008.06",79.3
"지수 (2017.11 = 100.0)","2008.07",79.4
"지수 (2017.11 = 100.0)","2008.08",79.3
"지수 (2017.11 = 100.0)","2008.09",78.6
"지수 (2017.11 = 100.0)","2008.10",76.7
"지수 (2017.11 = 100.0)","2008.11",74.0
"지수 (2017.11 = 100.0)","2008.12",71.1
"지수 (2017.11 = 100.0)","2009.01",71.4
"지수 (2017.11 = 100.0)","2009.02",72.7
"지수 (2017.11 = 100.0)","2009.03",73.3
